request -> request: Probability = 0.99, Count = 5409
( -> for: Probability = 0.00, Count = 38
( -> {: Probability = 0.01, Count = 261
( -> =: Probability = 0.01, Count = 344
( -> new: Probability = 0.01, Count = 187
( -> clear: Probability = 0.00, Count = 19
( -> checkCallable: Probability = 0.00, Count = 3
( -> addAll: Probability = 0.00, Count = 4
( -> shallowSizeOf: Probability = 0.00, Count = 1
( -> home: Probability = 0.00, Count = 1
( -> throw: Probability = 0.00, Count = 18
( -> expirationThresholdMilllis: Probability = 0.00, Count = 1
( -> sessionID: Probability = 0.00, Count = 1
( -> expired: Probability = 0.00, Count = 1
( -> +: Probability = 0.00, Count = 77
( -> session: Probability = 0.00, Count = 1
( -> getClass: Probability = 0.00, Count = 9
( -> toQueryString: Probability = 0.00, Count = 7
( -> MessageImpl: Probability = 0.00, Count = 2
( -> QueryNodeException: Probability = 0.00, Count = 3
( -> EscapeQuerySyntaxImpl: Probability = 0.00, Count = 2
( -> getName: Probability = 0.00, Count = 7
( -> ": Probability = 0.00, Count = 102
( -> null: Probability = 0.00, Count = 16
( -> ALL_LEGAL_ENCODER: Probability = 0.00, Count = 1
( -> :: Probability = 0.00, Count = 20
( -> path: Probability = 0.00, Count = 4
( -> containsValue: Probability = 0.00, Count = 3
( -> verb: Probability = 0.00, Count = 1
( -> nextEntry: Probability = 0.00, Count = 1
( -> next: Probability = 0.00, Count = 2
( -> 1: Probability = 0.00, Count = 11
( -> captureState: Probability = 0.00, Count = 1
( -> MessageFormat: Probability = 0.00, Count = 4
( -> JGitText: Probability = 0.00, Count = 7
( -> url: Probability = 0.00, Count = 1
( -> ConfigurationKeys: Probability = 0.00, Count = 1
( -> size: Probability = 0.00, Count = 20
( -> objects: Probability = 0.00, Count = 1
( -> getCreationHelper: Probability = 0.00, Count = 1
( -> replaceAll: Probability = 0.00, Count = 2
( -> input: Probability = 0.00, Count = 1
( -> si: Probability = 0.00, Count = 1
( -> append: Probability = 0.00, Count = 107
( -> sb: Probability = 0.00, Count = 17
( -> ': Probability = 0.00, Count = 66
( -> AreaEval: Probability = 0.00, Count = 2
( -> EvaluationException: Probability = 0.00, Count = 5
( -> eval: Probability = 0.00, Count = 2
( -> assert: Probability = 0.00, Count = 30
( -> runAutomaton: Probability = 0.00, Count = 1
( -> term: Probability = 0.00, Count = 2
( -> E: Probability = 0.00, Count = 11
( -> hash: Probability = 0.00, Count = 9
( -> V: Probability = 0.00, Count = 3
( -> boolean: Probability = 0.00, Count = 9
( -> ByteBuffer: Probability = 0.00, Count = 1
( -> limit: Probability = 0.00, Count = 5
( -> ArrayIndexOutOfBoundsException: Probability = 0.00, Count = 3
( -> getActions: Probability = 0.00, Count = 1
( -> data: Probability = 0.00, Count = 9
( -> 3: Probability = 0.00, Count = 3
( -> >: Probability = 0.00, Count = 67
( -> valuesOffset: Probability = 0.00, Count = 7
( -> values: Probability = 0.00, Count = 8
( -> block: Probability = 0.00, Count = 4
( -> 2: Probability = 0.00, Count = 5
( -> case: Probability = 0.00, Count = 1
( -> \: Probability = 0.00, Count = 44
( -> |: Probability = 0.00, Count = 36
( -> ~: Probability = 0.00, Count = 3
( -> NumberEval: Probability = 0.00, Count = 4
( -> add: Probability = 0.00, Count = 27
( -> createExtendedSST: Probability = 0.00, Count = 1
( -> SSTRecord: Probability = 0.00, Count = 1
( -> Object: Probability = 0.00, Count = 3
( -> value: Probability = 0.00, Count = 6
( -> 4: Probability = 0.00, Count = 13
( -> byte2: Probability = 0.00, Count = 4
( -> [: Probability = 0.00, Count = 35
( -> <: Probability = 0.00, Count = 64
( -> 7: Probability = 0.00, Count = 3
( -> byte0: Probability = 0.00, Count = 2
( -> 6: Probability = 0.00, Count = 5
( -> remove: Probability = 0.00, Count = 13
( -> removeValuesForKey: Probability = 0.00, Count = 1
( -> while: Probability = 0.00, Count = 13
( -> int: Probability = 0.00, Count = 24
( -> Invalid: Probability = 0.00, Count = 4
( -> than: Probability = 0.00, Count = 1
( -> IllegalStateException: Probability = 0.00, Count = 2
( -> AbstractEscherHolderRecord: Probability = 0.00, Count = 1
( -> escherRecords: Probability = 0.00, Count = 1
( -> getSubs: Probability = 0.00, Count = 2
( -> c: Probability = 0.00, Count = 5
( -> not: Probability = 0.00, Count = 1
( -> length: Probability = 0.00, Count = 5
( -> setFileName: Probability = 0.00, Count = 1
( -> setLabel: Probability = 0.00, Count = 1
( -> setDataBuffer: Probability = 0.00, Count = 1
( -> setCommand: Probability = 0.00, Count = 1
( -> getConstructor: Probability = 0.00, Count = 3
( -> -: Probability = 0.00, Count = 7
( -> InterfaceHdrRecord: Probability = 0.00, Count = 1
( -> RecordFormatException: Probability = 0.00, Count = 2
( -> newInstance: Probability = 0.00, Count = 2
( -> catch: Probability = 0.00, Count = 8
( -> forName: Probability = 0.00, Count = 2
( -> buffer: Probability = 0.00, Count = 9
( -> n: Probability = 0.00, Count = 8
( -> HexDump: Probability = 0.00, Count = 5
( -> SdkClientException: Probability = 0.00, Count = 1
( -> getPolicyRequest: Probability = 0.00, Count = 1
( -> getPolicyArn: Probability = 0.00, Count = 1
( -> request: Probability = 0.00, Count = 4
( -> relativePath: Probability = 0.00, Count = 1
( -> /: Probability = 0.00, Count = 4
( -> toArray: Probability = 0.00, Count = 11
( -> shortToHex: Probability = 0.00, Count = 11
( -> getHighFreqMinimumNumberShouldMatch: Probability = 0.00, Count = 1
( -> terms: Probability = 0.00, Count = 2
( -> final: Probability = 0.00, Count = 12
( -> sort: Probability = 0.00, Count = 2
( -> DeltaIndexScanner: Probability = 0.00, Count = 1
( -> countEntries: Probability = 0.00, Count = 1
( -> copyEntries: Probability = 0.00, Count = 1
( -> responseMap: Probability = 0.00, Count = 5
( -> bytesRemaining: Probability = 0.00, Count = 3
( -> getInt: Probability = 0.00, Count = 2
( -> EscherSimpleProperty: Probability = 0.00, Count = 1
( -> readUShort: Probability = 0.00, Count = 32
( -> readUnicodeString: Probability = 0.00, Count = 5
( -> in: Probability = 0.00, Count = 5
( -> content: Probability = 0.00, Count = 1
( -> pos: Probability = 0.00, Count = 2
( -> code: Probability = 0.00, Count = 1
( -> compareTo: Probability = 0.00, Count = 2
( -> addAndGet: Probability = 0.00, Count = 1
( -> arraycopy: Probability = 0.00, Count = 8
( -> 63: Probability = 0.00, Count = 3
( -> ramBytesUsed: Probability = 0.00, Count = 7
( -> externalRecord: Probability = 0.00, Count = 1
( -> doStem: Probability = 0.00, Count = 1
( -> caseFoldTitle: Probability = 0.00, Count = 1
( -> getHost: Probability = 0.00, Count = 1
( -> IOException: Probability = 0.00, Count = 12
( -> Locale: Probability = 0.00, Count = 2
( -> getMessage: Probability = 0.00, Count = 3
( -> getOffset: Probability = 0.00, Count = 1
( -> isWritten: Probability = 0.00, Count = 1
( -> byte: Probability = 0.00, Count = 4
( -> %: Probability = 0.00, Count = 3
( -> d: Probability = 0.00, Count = 3
( -> writeByte: Probability = 0.00, Count = 1
( -> N: Probability = 0.00, Count = 1
( -> substring: Probability = 0.00, Count = 5
( -> r2: Probability = 0.00, Count = 1
( -> compareValues: Probability = 0.00, Count = 1
( -> getRefName: Probability = 0.00, Count = 1
( -> *: Probability = 0.00, Count = 4
( -> getCollapsed: Probability = 0.00, Count = 1
( -> hunk: Probability = 0.00, Count = 1
( -> canonicalName: Probability = 0.00, Count = 1
( -> Charset: Probability = 0.00, Count = 1
( -> nextToken: Probability = 0.00, Count = 2
( -> super: Probability = 0.00, Count = 7
( -> cardinality: Probability = 0.00, Count = 3
( -> stats: Probability = 0.00, Count = 4
( -> defaultPalette: Probability = 0.00, Count = 1
( -> xcell: Probability = 0.00, Count = 1
( -> Integer: Probability = 0.00, Count = 1
( -> tryToDeleteArrayFormula: Probability = 0.00, Count = 1
( -> getFirstRowNum: Probability = 0.00, Count = 1
( -> p: Probability = 0.00, Count = 2
( -> transitions: Probability = 0.00, Count = 2
( -> id: Probability = 0.00, Count = 6
( -> packs: Probability = 0.00, Count = 1
( -> update: Probability = 0.00, Count = 2
( -> break: Probability = 0.00, Count = 1
( -> Exception: Probability = 0.00, Count = 1
( -> put: Probability = 0.00, Count = 7
( -> readTaskClass: Probability = 0.00, Count = 1
( -> config: Probability = 0.00, Count = 1
( -> byte3: Probability = 0.00, Count = 3
( -> false: Probability = 0.00, Count = 6
( -> points: Probability = 0.00, Count = 1
( -> i: Probability = 0.00, Count = 19
( -> getContext: Probability = 0.00, Count = 1
( -> charAt: Probability = 0.00, Count = 4
( -> SynonymFilter: Probability = 0.00, Count = 1
( -> s: Probability = 0.00, Count = 12
( -> len: Probability = 0.00, Count = 4
( -> termText: Probability = 0.00, Count = 4
( -> TermsReader: Probability = 0.00, Count = 1
( -> RefEval: Probability = 0.00, Count = 3
( -> walk: Probability = 0.00, Count = 11
( -> stashCommits: Probability = 0.00, Count = 1
( -> emptyList: Probability = 0.00, Count = 1
( -> entry: Probability = 0.00, Count = 4
( -> call: Probability = 0.00, Count = 1
( -> isEmpty: Probability = 0.00, Count = 17
( -> getEmailAddress: Probability = 0.00, Count = 1
( -> reader: Probability = 0.00, Count = 2
( -> CompositeReaderContext: Probability = 0.00, Count = 1
( -> parseDouble: Probability = 0.00, Count = 2
( -> placesNumberDouble: Probability = 0.00, Count = 1
( -> getSingleValue: Probability = 0.00, Count = 1
( -> getErrorEval: Probability = 0.00, Count = 1
( -> coerceValueToString: Probability = 0.00, Count = 1
( -> listIterator: Probability = 0.00, Count = 9
( -> dfa: Probability = 0.00, Count = 2
( -> DFAState: Probability = 0.00, Count = 2
( -> termsDictOffsets: Probability = 0.00, Count = 1
( -> termBytesReader: Probability = 0.00, Count = 1
( -> termOffsets: Probability = 0.00, Count = 2
( -> REPEAT_EXHAUST: Probability = 0.00, Count = 1
( -> min: Probability = 0.00, Count = 5
( -> indexOf: Probability = 0.00, Count = 9
( -> true: Probability = 0.00, Count = 3
( -> BoolEval: Probability = 0.00, Count = 1
( -> toString: Probability = 0.00, Count = 25
( -> GhCell: Probability = 0.00, Count = 1
( -> createExternalReferences: Probability = 0.00, Count = 1
( -> valueOf: Probability = 0.00, Count = 3
( -> getSimpleName: Probability = 0.00, Count = 4
( -> error: Probability = 0.00, Count = 1
( -> r: Probability = 0.00, Count = 7
( -> stopIndex: Probability = 0.00, Count = 1
( -> of: Probability = 0.00, Count = 2
( -> decision: Probability = 0.00, Count = 1
( -> recognizer: Probability = 0.00, Count = 1
( -> aux: Probability = 0.00, Count = 1
( -> _options: Probability = 0.00, Count = 2
( -> getEntrySpan: Probability = 0.00, Count = 1
( -> LongBuffer: Probability = 0.00, Count = 1
( -> Dirichlet: Probability = 0.00, Count = 1
( -> originalLength: Probability = 0.00, Count = 1
( -> line: Probability = 0.00, Count = 2
( -> notifyFormulaChanging: Probability = 0.00, Count = 1
( -> removeCell: Probability = 0.00, Count = 1
( -> _name: Probability = 0.00, Count = 1
( -> NegativeArraySizeException: Probability = 0.00, Count = 1
( -> NullPointerException: Probability = 0.00, Count = 5
( -> getParent: Probability = 0.00, Count = 3
( -> it: Probability = 0.00, Count = 1
( -> result: Probability = 0.00, Count = 3
( -> subList: Probability = 0.00, Count = 5
( -> isValidSchemeChar: Probability = 0.00, Count = 1
( -> args: Probability = 0.00, Count = 3
( -> itr: Probability = 0.00, Count = 3
( -> charsEquals: Probability = 0.00, Count = 1
( -> iterator: Probability = 0.00, Count = 14
( -> KeyIterator: Probability = 0.00, Count = 1
( -> gen: Probability = 0.00, Count = 1
( -> ord: Probability = 0.00, Count = 1
( -> loader: Probability = 0.00, Count = 1
( -> file: Probability = 0.00, Count = 2
( -> affixFile: Probability = 0.00, Count = 1
( -> CTFormat: Probability = 0.00, Count = 2
( -> get: Probability = 0.00, Count = 13
( -> format: Probability = 0.00, Count = 9
( -> CorruptObjectException: Probability = 0.00, Count = 1
( -> String: Probability = 0.00, Count = 9
( -> readRemainder: Probability = 0.00, Count = 1
( -> readInt: Probability = 0.00, Count = 3
( -> ref: Probability = 0.00, Count = 5
( -> res: Probability = 0.00, Count = 1
( -> Collections: Probability = 0.00, Count = 2
( -> state: Probability = 0.00, Count = 7
( -> indexFileName: Probability = 0.00, Count = 1
( -> b: Probability = 0.00, Count = 15
( -> index: Probability = 0.00, Count = 5
( -> lexerAction: Probability = 0.00, Count = 1
( -> requiresSeek: Probability = 0.00, Count = 1
( -> rs: Probability = 0.00, Count = 3
( -> CFHeaderBase: Probability = 0.00, Count = 1
( -> CFRecordsAggregate: Probability = 0.00, Count = 1
( -> peekNextRecord: Probability = 0.00, Count = 1
( -> BookSheetKey: Probability = 0.00, Count = 1
( -> source: Probability = 0.00, Count = 1
( -> termsFileName: Probability = 0.00, Count = 3
( -> returnState: Probability = 0.00, Count = 2
( -> hashCode: Probability = 0.00, Count = 8
( -> set: Probability = 0.00, Count = 2
( -> nextSetBit: Probability = 0.00, Count = 1
( -> ru: Probability = 0.00, Count = 2
( -> zeroId: Probability = 0.00, Count = 1
( -> ObjectId: Probability = 0.00, Count = 1
( -> getSourceSet: Probability = 0.00, Count = 1
( -> blockValue: Probability = 0.00, Count = 2
( -> valuesPerBlock: Probability = 0.00, Count = 1
( -> bitsPerValue: Probability = 0.00, Count = 1
( -> raw: Probability = 0.00, Count = 3
( -> keyStart: Probability = 0.00, Count = 2
( -> keyEnd: Probability = 0.00, Count = 1
( -> enc: Probability = 0.00, Count = 1
( -> valStart: Probability = 0.00, Count = 1
( -> SynonymQuery: Probability = 0.00, Count = 1
( -> ?: Probability = 0.00, Count = 8
( -> equalValues: Probability = 0.00, Count = 1
( -> ExtRst: Probability = 0.00, Count = 1
( -> StringValueEval: Probability = 0.00, Count = 1
( -> No: Probability = 0.00, Count = 1
( -> EscherRecord: Probability = 0.00, Count = 3
( -> proto: Probability = 0.00, Count = 1
( -> unregisterAndCloseRepository: Probability = 0.00, Count = 1
( -> exact: Probability = 0.00, Count = 1
( -> asList: Probability = 0.00, Count = 6
( -> nextDoc: Probability = 0.00, Count = 1
( -> NO_MORE_DOCS: Probability = 0.00, Count = 2
( -> updateTop: Probability = 0.00, Count = 1
( -> newDoc: Probability = 0.00, Count = 3
( -> setCredentialUrl: Probability = 0.00, Count = 1
( -> symbol: Probability = 0.00, Count = 2
( -> Arrays: Probability = 0.00, Count = 5
( -> a: Probability = 0.00, Count = 5
( -> filterPrecedencePredicates: Probability = 0.00, Count = 1
( -> readCompressedUnicode: Probability = 0.00, Count = 2
( -> HttpURLConnection: Probability = 0.00, Count = 1
( -> m: Probability = 0.00, Count = 4
( -> tab: Probability = 0.00, Count = 3
( -> spec: Probability = 0.00, Count = 2
( -> keySet: Probability = 0.00, Count = 2
( -> output: Probability = 0.00, Count = 2
( -> changeConsumingCells: Probability = 0.00, Count = 1
( -> NotActiveException: Probability = 0.00, Count = 1
( -> amz: Probability = 0.00, Count = 2
( -> StringBuilder: Probability = 0.00, Count = 5
( -> kPtr: Probability = 0.00, Count = 1
( -> A: Probability = 0.00, Count = 1
( -> decode: Probability = 0.00, Count = 3
( -> getActiveCellRow: Probability = 0.00, Count = 1
( -> str: Probability = 0.00, Count = 2
( -> Constants: Probability = 0.00, Count = 1
( -> expression: Probability = 0.00, Count = 1
( -> record: Probability = 0.00, Count = 1
( -> _begin: Probability = 0.00, Count = 1
( -> hi: Probability = 0.00, Count = 2
( -> lo: Probability = 0.00, Count = 1
( -> dateTimeInstance: Probability = 0.00, Count = 2
( -> ident: Probability = 0.00, Count = 2
( -> getInstance: Probability = 0.00, Count = 2
( -> tz: Probability = 0.00, Count = 1
( -> getWhen: Probability = 0.00, Count = 1
( -> é: Probability = 0.00, Count = 1
( -> RkRec: Probability = 0.00, Count = 1
( -> append0: Probability = 0.00, Count = 2
( -> appendNull: Probability = 0.00, Count = 1
( -> idFor: Probability = 0.00, Count = 5
( -> repos: Probability = 0.00, Count = 1
( -> RuntimeException: Probability = 0.00, Count = 4
( -> endsWith: Probability = 0.00, Count = 4
( -> CharArraySet: Probability = 0.00, Count = 1
( -> block1: Probability = 0.00, Count = 1
( -> 56: Probability = 0.00, Count = 1
( -> 48: Probability = 0.00, Count = 1
( -> block0: Probability = 0.00, Count = 1
( -> block2: Probability = 0.00, Count = 1
( -> byNumber: Probability = 0.00, Count = 1
( -> v: Probability = 0.00, Count = 3
( -> BytesRef: Probability = 0.00, Count = 1
( -> getMaxClauseCount: Probability = 0.00, Count = 1
( -> TooManyClauses: Probability = 0.00, Count = 1
( -> fieldAndWeights: Probability = 0.00, Count = 1
( -> FormatRun: Probability = 0.00, Count = 1
( -> chooseSingleElementFromRef: Probability = 0.00, Count = 1
( -> chooseSingleElementFromArea: Probability = 0.00, Count = 1
( -> tmp: Probability = 0.00, Count = 1
( -> obj: Probability = 0.00, Count = 1
( -> cloneArray: Probability = 0.00, Count = 1
( -> getCachedBytes: Probability = 0.00, Count = 1
( -> OutOfMemory: Probability = 0.00, Count = 1
( -> public: Probability = 0.00, Count = 2
( -> getElement: Probability = 0.00, Count = 1
( -> K: Probability = 0.00, Count = 1
( -> containsKey: Probability = 0.00, Count = 6
( -> eKey: Probability = 0.00, Count = 1
( -> 12: Probability = 0.00, Count = 1
( -> Point: Probability = 0.00, Count = 2
( -> children: Probability = 0.00, Count = 1
( -> hasPrevious: Probability = 0.00, Count = 1
( -> previous: Probability = 0.00, Count = 1
( -> save: Probability = 0.00, Count = 1
( -> clazz: Probability = 0.00, Count = 1
( -> IndexWriter: Probability = 0.00, Count = 1
( -> forceMerge: Probability = 0.00, Count = 1
( -> infoStream: Probability = 0.00, Count = 2
( -> listCommits: Probability = 0.00, Count = 1
( -> props: Probability = 0.00, Count = 1
( -> original: Probability = 0.00, Count = 1
( -> byte1: Probability = 0.00, Count = 4
( -> getEncodedSize: Probability = 0.00, Count = 1
( -> readByte: Probability = 0.00, Count = 1
( -> currentRef: Probability = 0.00, Count = 1
( -> fullName: Probability = 0.00, Count = 1
( -> updateRef: Probability = 0.00, Count = 1
( -> readUByte: Probability = 0.00, Count = 2
( -> MOD_NOT: Probability = 0.00, Count = 1
( -> namedForThisSegment: Probability = 0.00, Count = 1
( -> header: Probability = 0.00, Count = 1
( -> getCommitSnapshot: Probability = 0.00, Count = 1
( -> write: Probability = 0.00, Count = 6
( -> lock: Probability = 0.00, Count = 1
( -> getFile: Probability = 0.00, Count = 3
( -> setNeedSnapshot: Probability = 0.00, Count = 1
( -> toText: Probability = 0.00, Count = 1
( -> encode: Probability = 0.00, Count = 1
( -> fireConfigChangedEvent: Probability = 0.00, Count = 1
( -> LockFile: Probability = 0.00, Count = 1
( -> unlock: Probability = 0.00, Count = 1
( -> LockFailedException: Probability = 0.00, Count = 1
( -> ByteArrayOutputStream: Probability = 0.00, Count = 1
( -> toByteArray: Probability = 0.00, Count = 1
( -> le: Probability = 0.00, Count = 1
( -> ge: Probability = 0.00, Count = 1
( -> fill: Probability = 0.00, Count = 3
( -> CircularSequence: Probability = 0.00, Count = 1
( -> count: Probability = 0.00, Count = 2
( -> tnode: Probability = 0.00, Count = 2
( -> buf: Probability = 0.00, Count = 1
( -> Loc: Probability = 0.00, Count = 1
( -> flag: Probability = 0.00, Count = 1
( -> arcIdx: Probability = 0.00, Count = 1
( -> QueryNode: Probability = 0.00, Count = 5
( -> void: Probability = 0.00, Count = 4
( -> HOUR_OF_DAY: Probability = 0.00, Count = 1
( -> DAY_OF_YEAR: Probability = 0.00, Count = 1
( -> ec: Probability = 0.00, Count = 1
( -> but: Probability = 0.00, Count = 1
( -> isFileMode: Probability = 0.00, Count = 1
( -> getBits: Probability = 0.00, Count = 1
( -> PagedBytesDataOutput: Probability = 0.00, Count = 1
( -> subtract: Probability = 0.00, Count = 2
( -> IntervalSet: Probability = 0.00, Count = 1
( -> parent: Probability = 0.00, Count = 1
( -> FileNameMatcher: Probability = 0.00, Count = 1
( -> reset: Probability = 0.00, Count = 4
( -> child: Probability = 0.00, Count = 2
( -> ttype: Probability = 0.00, Count = 1
( -> tokens: Probability = 0.00, Count = 1
( -> getProperty: Probability = 0.00, Count = 5
( -> diff: Probability = 0.00, Count = 1
( -> read: Probability = 0.00, Count = 2
( -> _: Probability = 0.00, Count = 2
( -> Sheet: Probability = 0.00, Count = 1
( -> spare: Probability = 0.00, Count = 3
( -> endpoint: Probability = 0.00, Count = 1
( -> BoundedEntrySet: Probability = 0.00, Count = 1
( -> File: Probability = 0.00, Count = 2
( -> longs: Probability = 0.00, Count = 1
( -> blocksToRead: Probability = 0.00, Count = 1
( -> Map: Probability = 0.00, Count = 1
( -> Ref: Probability = 0.00, Count = 1
( -> nameName: Probability = 0.00, Count = 1
( -> Collection: Probability = 0.00, Count = 1
( -> reportNoViableAlternative: Probability = 0.00, Count = 1
( -> err: Probability = 0.00, Count = 1
( -> denseBuffer: Probability = 0.00, Count = 1
( -> 0xFFFF: Probability = 0.00, Count = 1
( -> flush: Probability = 0.00, Count = 1
( -> entrySet: Probability = 0.00, Count = 3
( -> step: Probability = 0.00, Count = 1
( -> join: Probability = 0.00, Count = 1
( -> HSSFClientAnchor: Probability = 0.00, Count = 1
( -> HSSFChildAnchor: Probability = 0.00, Count = 1
( -> crA: Probability = 0.00, Count = 3
( -> parseHexInt4: Probability = 0.00, Count = 1
( -> height: Probability = 0.00, Count = 2
( -> getPath: Probability = 0.00, Count = 2
( -> frequency: Probability = 0.00, Count = 1
( -> Explanation: Probability = 0.00, Count = 1
( -> exc: Probability = 0.00, Count = 1
( -> files: Probability = 0.00, Count = 2
( -> product: Probability = 0.00, Count = 1
( -> undeleteAll: Probability = 0.00, Count = 1
( -> getSequentialSubReaders: Probability = 0.00, Count = 1
( -> getNumTransitions: Probability = 0.00, Count = 1
( -> needs: Probability = 0.00, Count = 2
( -> removeFromBothMaps: Probability = 0.00, Count = 1
( -> such: Probability = 0.00, Count = 1
( -> FileNotFoundException: Probability = 0.00, Count = 1
( -> had: Probability = 0.00, Count = 1
( -> NotSupportedException: Probability = 0.00, Count = 1
( -> CharStream: Probability = 0.00, Count = 1
( -> iMode: Probability = 0.00, Count = 1
( -> mGlowScaleY: Probability = 0.00, Count = 1
( -> Writing: Probability = 0.00, Count = 1
( -> hasNext: Probability = 0.00, Count = 2
( -> idfExplain: Probability = 0.00, Count = 2
( -> MurmurHash: Probability = 0.00, Count = 2
( -> initialize: Probability = 0.00, Count = 1
( -> ptg: Probability = 0.00, Count = 5
( -> FuncVarPtg: Probability = 0.00, Count = 1
( -> resourceName: Probability = 0.00, Count = 1
( -> array: Probability = 0.00, Count = 1
( -> loose: Probability = 0.00, Count = 1
( -> keyName: Probability = 0.00, Count = 1
( -> getObjectId: Probability = 0.00, Count = 1
( -> parts: Probability = 0.00, Count = 3
( -> f0: Probability = 0.00, Count = 5
( -> ErrorEval: Probability = 0.00, Count = 3
( -> 9999: Probability = 0.00, Count = 1
( -> part2: Probability = 0.00, Count = 1
( -> spacePos: Probability = 0.00, Count = 1
( -> iter: Probability = 0.00, Count = 1
( -> ValueIterator: Probability = 0.00, Count = 1
( -> PrefixQuery: Probability = 0.00, Count = 1
( -> continue: Probability = 0.00, Count = 4
( -> rrIx: Probability = 0.00, Count = 1
( -> compare: Probability = 0.00, Count = 3
( -> getValue: Probability = 0.00, Count = 4
( -> calcDistanceFromErrPct: Probability = 0.00, Count = 1
( -> range: Probability = 0.00, Count = 2
( -> startOffset: Probability = 0.00, Count = 1
( -> equalsTo: Probability = 0.00, Count = 2
( -> manufactureStrings: Probability = 0.00, Count = 1
( -> es: Probability = 0.00, Count = 1
( -> safeSize: Probability = 0.00, Count = 1
( -> position: Probability = 0.00, Count = 3
( -> nTerms: Probability = 0.00, Count = 1
( -> sets: Probability = 0.00, Count = 1
( -> expr1: Probability = 0.00, Count = 2
( -> getFormulaFromTextExpression: Probability = 0.00, Count = 1
( -> db: Probability = 0.00, Count = 2
( -> FileKey: Probability = 0.00, Count = 1
( -> SmallFloat: Probability = 0.00, Count = 1
( -> toHex: Probability = 0.00, Count = 2
( -> x: Probability = 0.00, Count = 1
( -> instanceof: Probability = 0.00, Count = 3
( -> sval: Probability = 0.00, Count = 8
( -> colName: Probability = 0.00, Count = 3
( -> unmodifiableCollection: Probability = 0.00, Count = 1
( -> field_7_palette_options: Probability = 0.00, Count = 1
( -> ExtendedFormatRecord: Probability = 0.00, Count = 1
( -> field_1_font_index: Probability = 0.00, Count = 1
( -> NE: Probability = 0.00, Count = 1
( -> char: Probability = 0.00, Count = 1
( -> serialize: Probability = 0.00, Count = 2
( -> NullEscherSerializationListener: Probability = 0.00, Count = 1
( -> fst: Probability = 0.00, Count = 1
( -> wasEscaped: Probability = 0.00, Count = 1
( -> ArrayListIterator: Probability = 0.00, Count = 1
( -> readWeight: Probability = 0.00, Count = 3
( -> copyChars: Probability = 0.00, Count = 2
( -> InvalidRefNameException: Probability = 0.00, Count = 1
( -> getReverseEntries: Probability = 0.00, Count = 1
( -> RefNotFoundException: Probability = 0.00, Count = 1
( -> MimeStreamParser: Probability = 0.00, Count = 1
( -> putInt: Probability = 0.00, Count = 1
( -> listener: Probability = 0.00, Count = 1
( -> readSingleByte: Probability = 0.00, Count = 1
( -> _valuesAgg: Probability = 0.00, Count = 2
( -> peekNextSid: Probability = 0.00, Count = 5
( -> addUnknownRecord: Probability = 0.00, Count = 1
