{ -> data: Probability = 0.00, Count = 1
{ -> res: Probability = 0.00, Count = 1
{ -> maximum: Probability = 0.00, Count = 1
{ -> d: Probability = 0.00, Count = 1
{ -> idx_y: Probability = 0.00, Count = 1
{ -> x: Probability = 0.00, Count = 1
{ -> .: Probability = 0.01, Count = 3
{ -> i: Probability = 0.01, Count = 4
{ -> <: Probability = 0.00, Count = 2
{ -> const: Probability = 0.01, Count = 3
{ -> element_c: Probability = 0.00, Count = 1
{ -> pixel: Probability = 0.00, Count = 2
{ -> aux: Probability = 0.00, Count = 1
{ -> d_in: Probability = 0.00, Count = 1
{ -> out_index: Probability = 0.00, Count = 1
{ -> w_in: Probability = 0.00, Count = 1
{ -> h_in: Probability = 0.00, Count = 1
{ -> x2: Probability = 0.00, Count = 1
{ -> w_col_end: Probability = 0.00, Count = 1
{ -> rt: Probability = 0.00, Count = 1
{ -> w2: Probability = 0.00, Count = 1
int -> int: Probability = 0.85, Count = 686
int -> row: Probability = 0.00, Count = 4
int -> i: Probability = 0.01, Count = 12
int -> j: Probability = 0.01, Count = 10
int -> ;: Probability = 0.01, Count = 12
int -> y: Probability = 0.01, Count = 8
int -> IND: Probability = 0.00, Count = 1
int -> pos: Probability = 0.00, Count = 2
int -> trans_pos: Probability = 0.00, Count = 1
int -> idx: Probability = 0.00, Count = 1
int -> bit_index: Probability = 0.00, Count = 1
int -> =: Probability = 0.03, Count = 25
int -> col: Probability = 0.00, Count = 2
int -> :: Probability = 0.00, Count = 1
int -> (: Probability = 0.00, Count = 3
int -> jj: Probability = 0.00, Count = 2
int -> ): Probability = 0.01, Count = 9
int -> ind_in: Probability = 0.00, Count = 1
int -> k: Probability = 0.00, Count = 1
int -> 0: Probability = 0.00, Count = 1
int -> Col: Probability = 0.00, Count = 1
int -> idy: Probability = 0.00, Count = 1
int -> IJ: Probability = 0.00, Count = 2
int -> i2: Probability = 0.00, Count = 1
int -> offset: Probability = 0.00, Count = 1
int -> {: Probability = 0.00, Count = 1
int -> dst: Probability = 0.00, Count = 1
int -> x: Probability = 0.00, Count = 1
int -> for: Probability = 0.00, Count = 1
int -> column: Probability = 0.00, Count = 1
int -> index: Probability = 0.00, Count = 1
int -> b: Probability = 0.00, Count = 1
int -> +: Probability = 0.00, Count = 2
int -> count: Probability = 0.00, Count = 1
int -> frame: Probability = 0.00, Count = 1
int -> h_col: Probability = 0.00, Count = 1
int -> data_col: Probability = 0.00, Count = 1
int -> w_col: Probability = 0.00, Count = 1
int -> *: Probability = 0.00, Count = 2
int -> add_index: Probability = 0.00, Count = 1
int -> float: Probability = 0.00, Count = 1
idx -> ]: Probability = 0.27, Count = 33
idx -> blockIdx: Probability = 0.06, Count = 7
idx -> idx: Probability = 0.50, Count = 61
idx -> threadIdx: Probability = 0.03, Count = 4
idx -> +: Probability = 0.03, Count = 4
idx -> =: Probability = 0.01, Count = 1
idx -> ;: Probability = 0.01, Count = 1
idx -> *: Probability = 0.01, Count = 1
idx -> input: Probability = 0.02, Count = 2
idx -> channel: Probability = 0.01, Count = 1
idx -> {: Probability = 0.02, Count = 2
idx -> u: Probability = 0.02, Count = 2
idx -> long: Probability = 0.02, Count = 2
idx -> j: Probability = 0.01, Count = 1
( -> (: Probability = 0.60, Count = 407
( -> val: Probability = 0.00, Count = 1
( -> 1: Probability = 0.01, Count = 5
( -> d_in: Probability = 0.01, Count = 4
( -> tx: Probability = 0.00, Count = 2
( -> Tau: Probability = 0.00, Count = 1
( -> X: Probability = 0.00, Count = 2
( -> -: Probability = 0.01, Count = 9
( -> int: Probability = 0.05, Count = 35
( -> rand: Probability = 0.00, Count = 1
( -> 0: Probability = 0.02, Count = 12
( -> idx: Probability = 0.00, Count = 3
( -> [: Probability = 0.01, Count = 10
( -> alphas: Probability = 0.00, Count = 1
( -> |: Probability = 0.00, Count = 1
( -> szbeg: Probability = 0.00, Count = 1
( -> sxbeg: Probability = 0.00, Count = 1
( -> diff: Probability = 0.00, Count = 1
( -> i: Probability = 0.01, Count = 6
( -> min: Probability = 0.00, Count = 1
( -> idy: Probability = 0.00, Count = 1
( -> {: Probability = 0.00, Count = 3
( -> pcountinner: Probability = 0.00, Count = 1
( -> memHeight: Probability = 0.00, Count = 2
( -> 4: Probability = 0.00, Count = 1
( -> float: Probability = 0.01, Count = 7
( -> perimeterRes: Probability = 0.00, Count = 1
( -> pcount: Probability = 0.00, Count = 1
( -> k: Probability = 0.01, Count = 7
( -> ): Probability = 0.01, Count = 7
( -> size: Probability = 0.00, Count = 1
( -> j: Probability = 0.00, Count = 3
( -> dia: Probability = 0.00, Count = 1
( -> edad: Probability = 0.00, Count = 1
( -> unsigned: Probability = 0.01, Count = 8
( -> ]: Probability = 0.00, Count = 1
( -> +: Probability = 0.00, Count = 3
( -> *: Probability = 0.02, Count = 16
( -> depth_scale: Probability = 0.00, Count = 1
( -> char: Probability = 0.00, Count = 3
( -> ind_out: Probability = 0.00, Count = 1
( -> clamp_min: Probability = 0.00, Count = 1
( -> clamp_max: Probability = 0.00, Count = 1
( -> =: Probability = 0.01, Count = 8
( -> ;: Probability = 0.02, Count = 15
( -> Start: Probability = 0.00, Count = 2
( -> RES: Probability = 0.00, Count = 1
( -> J: Probability = 0.00, Count = 2
( -> height: Probability = 0.00, Count = 1
( -> columns: Probability = 0.00, Count = 1
( -> row: Probability = 0.00, Count = 2
( -> column: Probability = 0.00, Count = 1
( -> long: Probability = 0.00, Count = 1
( -> for: Probability = 0.01, Count = 6
( -> cell: Probability = 0.00, Count = 1
( -> End: Probability = 0.00, Count = 2
( -> ELEMENT_INDEX: Probability = 0.00, Count = 1
( -> !: Probability = 0.00, Count = 1
( -> array_size: Probability = 0.00, Count = 1
( -> if: Probability = 0.00, Count = 2
( -> mat: Probability = 0.00, Count = 1
( -> >: Probability = 0.00, Count = 1
( -> powf: Probability = 0.00, Count = 1
( -> /: Probability = 0.00, Count = 1
( -> z: Probability = 0.01, Count = 4
( -> src: Probability = 0.00, Count = 2
( -> d_indptr: Probability = 0.00, Count = 1
( -> y: Probability = 0.00, Count = 2
( -> 307: Probability = 0.00, Count = 1
( -> eachElement: Probability = 0.00, Count = 1
( -> sqrtf: Probability = 0.00, Count = 1
( -> 2: Probability = 0.00, Count = 1
( -> logf: Probability = 0.00, Count = 1
( -> x: Probability = 0.00, Count = 2
( -> m: Probability = 0.00, Count = 1
( -> 5: Probability = 0.00, Count = 1
( -> cols: Probability = 0.00, Count = 2
( -> out: Probability = 0.00, Count = 1
( -> b: Probability = 0.00, Count = 1
( -> stride: Probability = 0.00, Count = 1
( -> 25: Probability = 0.00, Count = 2
( -> r_i: Probability = 0.00, Count = 1
( -> w_in: Probability = 0.00, Count = 1
( -> channel_out: Probability = 0.00, Count = 1
( -> count: Probability = 0.00, Count = 1
( -> width: Probability = 0.00, Count = 1
( -> x2: Probability = 0.00, Count = 1
( -> in: Probability = 0.01, Count = 6
( -> }: Probability = 0.00, Count = 1
( -> :: Probability = 0.00, Count = 1
( -> gt2: Probability = 0.00, Count = 1
( -> bt: Probability = 0.00, Count = 1
( -> gpu_img_in_v: Probability = 0.00, Count = 2
( -> rt: Probability = 0.00, Count = 1
( -> gpu_img_in_u: Probability = 0.00, Count = 1
( -> bt2: Probability = 0.00, Count = 1
( -> rt2: Probability = 0.00, Count = 1
( -> gpu_img_in_y: Probability = 0.00, Count = 1
data -> data: Probability = 0.88, Count = 7
data -> [: Probability = 0.12, Count = 1
; -> }: Probability = 0.06, Count = 53
; -> ;: Probability = 0.46, Count = 395
; -> return: Probability = 0.00, Count = 1
; -> ]: Probability = 0.01, Count = 8
; -> 1: Probability = 0.01, Count = 6
; -> x: Probability = 0.00, Count = 3
; -> devSteer: Probability = 0.00, Count = 1
; -> &: Probability = 0.01, Count = 6
; -> prB: Probability = 0.00, Count = 1
; -> d_acts: Probability = 0.00, Count = 1
; -> y: Probability = 0.02, Count = 15
; -> row: Probability = 0.00, Count = 4
; -> +: Probability = 0.03, Count = 23
; -> i: Probability = 0.03, Count = 22
; -> mat: Probability = 0.00, Count = 3
; -> int: Probability = 0.01, Count = 9
; -> =: Probability = 0.02, Count = 17
; -> if: Probability = 0.00, Count = 3
; -> means: Probability = 0.00, Count = 1
; -> my: Probability = 0.00, Count = 1
; -> >: Probability = 0.00, Count = 4
; -> .: Probability = 0.00, Count = 4
; -> width: Probability = 0.00, Count = 1
; -> (: Probability = 0.02, Count = 18
; -> a: Probability = 0.00, Count = 1
; -> error: Probability = 0.00, Count = 1
; -> delta: Probability = 0.00, Count = 2
; -> out_image: Probability = 0.00, Count = 1
; -> temp: Probability = 0.00, Count = 1
; -> float: Probability = 0.01, Count = 8
; -> unsigned: Probability = 0.01, Count = 8
; -> mat_out: Probability = 0.00, Count = 1
; -> pn: Probability = 0.00, Count = 1
; -> ): Probability = 0.02, Count = 21
; -> devMat: Probability = 0.00, Count = 1
; -> [: Probability = 0.01, Count = 12
; -> <: Probability = 0.02, Count = 13
; -> k: Probability = 0.01, Count = 10
; -> long: Probability = 0.00, Count = 3
; -> size: Probability = 0.00, Count = 1
; -> *: Probability = 0.01, Count = 8
; -> for: Probability = 0.01, Count = 12
; -> output: Probability = 0.00, Count = 2
; -> g: Probability = 0.00, Count = 2
; -> b: Probability = 0.00, Count = 4
; -> :: Probability = 0.00, Count = 2
; -> size_t: Probability = 0.00, Count = 1
; -> meanImage: Probability = 0.00, Count = 1
; -> jj: Probability = 0.00, Count = 4
; -> availablePixels: Probability = 0.00, Count = 1
; -> d_in: Probability = 0.00, Count = 1
; -> d_ind_sub: Probability = 0.00, Count = 1
; -> d_label_sub: Probability = 0.00, Count = 1
; -> j: Probability = 0.01, Count = 8
; -> n: Probability = 0.00, Count = 2
; -> ny: Probability = 0.00, Count = 1
; -> nx: Probability = 0.00, Count = 1
; -> C: Probability = 0.00, Count = 2
; -> c: Probability = 0.00, Count = 1
; -> RES: Probability = 0.00, Count = 2
; -> idx: Probability = 0.00, Count = 3
; -> ps: Probability = 0.00, Count = 1
; -> npml: Probability = 0.00, Count = 1
; -> -: Probability = 0.00, Count = 2
; -> grayImage: Probability = 0.00, Count = 1
; -> image: Probability = 0.00, Count = 3
; -> my_pixel: Probability = 0.00, Count = 3
; -> x1: Probability = 0.00, Count = 1
; -> 0: Probability = 0.01, Count = 7
; -> cell: Probability = 0.00, Count = 1
; -> shared_dimensions: Probability = 0.00, Count = 1
; -> column: Probability = 0.00, Count = 1
; -> U: Probability = 0.00, Count = 1
; -> ELEMENT_INDEX: Probability = 0.00, Count = 1
; -> buffer: Probability = 0.00, Count = 1
; -> filterR: Probability = 0.00, Count = 1
; -> ib: Probability = 0.00, Count = 1
; -> spatial: Probability = 0.00, Count = 1
; -> batch: Probability = 0.00, Count = 2
; -> const: Probability = 0.02, Count = 16
; -> grayimg: Probability = 0.00, Count = 1
; -> host_inputArray3: Probability = 0.00, Count = 1
; -> ptr_stc_1: Probability = 0.00, Count = 2
; -> newvalue: Probability = 0.00, Count = 1
; -> {: Probability = 0.00, Count = 3
; -> summ: Probability = 0.00, Count = 1
; -> bx: Probability = 0.00, Count = 1
; -> stride: Probability = 0.00, Count = 1
; -> norm_val: Probability = 0.00, Count = 1
; -> s: Probability = 0.00, Count = 1
; -> d_out: Probability = 0.00, Count = 1
; -> sum: Probability = 0.00, Count = 1
; -> m: Probability = 0.00, Count = 1
; -> W_grid: Probability = 0.00, Count = 1
; -> size3d: Probability = 0.00, Count = 2
; -> size2d: Probability = 0.00, Count = 2
; -> forward: Probability = 0.00, Count = 1
; -> gpu_img_out_v: Probability = 0.00, Count = 1
; -> gpu_img_out_y: Probability = 0.00, Count = 1
; -> gpu_img_out_u: Probability = 0.00, Count = 1
; -> dcopy: Probability = 0.00, Count = 1
; -> realPart: Probability = 0.00, Count = 1
; -> minw: Probability = 0.00, Count = 2
; -> add_index: Probability = 0.00, Count = 1
; -> id: Probability = 0.00, Count = 1
; -> 4: Probability = 0.00, Count = 1
; -> boxes_out: Probability = 0.00, Count = 3
; -> height_col: Probability = 0.00, Count = 1
; -> ksize: Probability = 0.00, Count = 1
; -> w_in: Probability = 0.00, Count = 1
; -> data_col_ptr: Probability = 0.00, Count = 1
; -> do: Probability = 0.00, Count = 1
; -> pic: Probability = 0.00, Count = 1
; -> count: Probability = 0.00, Count = 1
; -> y2: Probability = 0.00, Count = 1
; -> coeff_w_col: Probability = 0.00, Count = 1
; -> w_col_end: Probability = 0.00, Count = 1
; -> h_col: Probability = 0.00, Count = 1
; -> h_col_end: Probability = 0.00, Count = 1
; -> bt2: Probability = 0.00, Count = 1
; -> gpu_img_out_b: Probability = 0.00, Count = 1
; -> gt: Probability = 0.00, Count = 1
; -> gt2: Probability = 0.00, Count = 2
; -> rt2: Probability = 0.00, Count = 1
; -> gpu_img_out_g: Probability = 0.00, Count = 1
; -> bt: Probability = 0.00, Count = 1
; -> gpu_img_out_r: Probability = 0.00, Count = 1
; -> boxes_for_nms: Probability = 0.00, Count = 2
; -> w1: Probability = 0.00, Count = 1
; -> minc: Probability = 0.00, Count = 1
; -> minh: Probability = 0.00, Count = 1
; -> anchorCy: Probability = 0.00, Count = 1
; -> anchorCx: Probability = 0.00, Count = 1
; -> temp_diff: Probability = 0.00, Count = 1
; -> shift: Probability = 0.00, Count = 1
] -> +: Probability = 0.08, Count = 53
] -> =: Probability = 0.14, Count = 100
] -> ;: Probability = 0.10, Count = 73
] -> *: Probability = 0.05, Count = 36
] -> ]: Probability = 0.37, Count = 257
] -> -: Probability = 0.03, Count = 19
] -> }: Probability = 0.01, Count = 6
] -> /: Probability = 0.01, Count = 8
] -> ): Probability = 0.02, Count = 11
] -> x: Probability = 0.01, Count = 5
] -> >: Probability = 0.01, Count = 8
] -> ,: Probability = 0.00, Count = 3
] -> (: Probability = 0.01, Count = 4
] -> <: Probability = 0.00, Count = 3
] -> threadIdx: Probability = 0.00, Count = 1
] -> 0: Probability = 0.01, Count = 7
] -> src: Probability = 0.00, Count = 1
] -> dst: Probability = 0.00, Count = 1
] -> id: Probability = 0.00, Count = 2
] -> tid: Probability = 0.01, Count = 5
] -> idx: Probability = 0.00, Count = 3
] -> alpha: Probability = 0.00, Count = 2
] -> blockIdx: Probability = 0.00, Count = 1
] -> temp: Probability = 0.00, Count = 1
] -> d_in: Probability = 0.00, Count = 2
] -> {: Probability = 0.00, Count = 2
] -> p: Probability = 0.00, Count = 1
] -> b: Probability = 0.00, Count = 1
] -> k: Probability = 0.00, Count = 1
] -> size: Probability = 0.00, Count = 1
] -> sin: Probability = 0.00, Count = 1
] -> tx: Probability = 0.00, Count = 2
] -> maxvd: Probability = 0.00, Count = 1
] -> for: Probability = 0.00, Count = 2
] -> b_in: Probability = 0.00, Count = 1
] -> a_in: Probability = 0.00, Count = 1
] -> [: Probability = 0.02, Count = 14
] -> sum: Probability = 0.00, Count = 1
] -> B: Probability = 0.00, Count = 1
] -> j: Probability = 0.00, Count = 2
] -> Isg: Probability = 0.00, Count = 1
] -> gp: Probability = 0.00, Count = 1
] -> Iss: Probability = 0.00, Count = 1
] -> sp: Probability = 0.00, Count = 1
] -> .: Probability = 0.00, Count = 2
] -> psi: Probability = 0.00, Count = 2
] -> pa: Probability = 0.00, Count = 1
] -> pb: Probability = 0.00, Count = 1
] -> filter: Probability = 0.00, Count = 1
] -> Bd: Probability = 0.00, Count = 1
] -> model: Probability = 0.00, Count = 1
] -> int: Probability = 0.00, Count = 2
] -> nx: Probability = 0.00, Count = 1
] -> i: Probability = 0.01, Count = 4
] -> index: Probability = 0.00, Count = 1
] -> grad: Probability = 0.00, Count = 2
] -> 1: Probability = 0.00, Count = 2
] -> d_indptr: Probability = 0.00, Count = 1
] -> ptr_src_0: Probability = 0.00, Count = 2
] -> unsigned: Probability = 0.00, Count = 2
] -> float: Probability = 0.00, Count = 1
] -> ty: Probability = 0.00, Count = 1
] -> bx: Probability = 0.00, Count = 1
] -> stride: Probability = 0.00, Count = 1
] -> norm_val: Probability = 0.00, Count = 1
] -> n: Probability = 0.00, Count = 1
] -> scale: Probability = 0.00, Count = 1
] -> s1: Probability = 0.00, Count = 1
] -> s2: Probability = 0.00, Count = 1
] -> &: Probability = 0.01, Count = 5
] -> 2: Probability = 0.00, Count = 2
] -> Q: Probability = 0.00, Count = 1
] -> out: Probability = 0.00, Count = 1
] -> add: Probability = 0.00, Count = 1
] -> preCy: Probability = 0.00, Count = 1
] -> preH: Probability = 0.00, Count = 1
] -> anchorH: Probability = 0.00, Count = 1
] -> preCx: Probability = 0.00, Count = 1
] -> width: Probability = 0.00, Count = 2
] -> col: Probability = 0.00, Count = 1
] -> height: Probability = 0.00, Count = 2
] -> shift: Probability = 0.00, Count = 1
] -> r: Probability = 0.00, Count = 1
numElements -> numElements: Probability = 1.00, Count = 2
, -> ,: Probability = 0.95, Count = 759
, -> 3: Probability = 0.00, Count = 1
, -> ALPHA: Probability = 0.00, Count = 1
, -> ]: Probability = 0.00, Count = 1
, -> =: Probability = 0.00, Count = 1
, -> imageNum: Probability = 0.00, Count = 1
, -> fmaxf: Probability = 0.00, Count = 2
, -> X: Probability = 0.00, Count = 3
, -> ;: Probability = 0.00, Count = 2
, -> ): Probability = 0.00, Count = 1
, -> j: Probability = 0.00, Count = 2
, -> 2: Probability = 0.00, Count = 1
, -> h: Probability = 0.00, Count = 1
, -> acc: Probability = 0.00, Count = 1
, -> p: Probability = 0.00, Count = 1
, -> w: Probability = 0.00, Count = 1
, -> 0: Probability = 0.00, Count = 1
, -> *: Probability = 0.01, Count = 7
, -> x: Probability = 0.00, Count = 1
, -> h_in: Probability = 0.00, Count = 1
, -> &: Probability = 0.00, Count = 1
, -> frame: Probability = 0.00, Count = 1
, -> y2: Probability = 0.00, Count = 1
, -> w_col: Probability = 0.00, Count = 1
, -> h_col: Probability = 0.00, Count = 2
, -> coeff_h_col: Probability = 0.00, Count = 1
, -> [: Probability = 0.00, Count = 1
+ -> =: Probability = 0.04, Count = 41
+ -> ): Probability = 0.09, Count = 89
+ -> +: Probability = 0.40, Count = 382
+ -> y: Probability = 0.00, Count = 4
+ -> N: Probability = 0.00, Count = 3
+ -> x: Probability = 0.01, Count = 13
+ -> arrayB: Probability = 0.00, Count = 1
+ -> ncols: Probability = 0.00, Count = 1
+ -> i: Probability = 0.02, Count = 21
+ -> maxThreads: Probability = 0.00, Count = 1
+ -> b: Probability = 0.00, Count = 4
+ -> stride: Probability = 0.01, Count = 5
+ -> a: Probability = 0.00, Count = 1
+ -> nblocks: Probability = 0.00, Count = 1
+ -> B: Probability = 0.00, Count = 1
+ -> count: Probability = 0.00, Count = 1
+ -> gridDim: Probability = 0.00, Count = 1
+ -> reductionSize: Probability = 0.00, Count = 1
+ -> tid: Probability = 0.00, Count = 2
+ -> m: Probability = 0.00, Count = 1
+ -> d_in_b: Probability = 0.00, Count = 1
+ -> cols: Probability = 0.01, Count = 8
+ -> col: Probability = 0.01, Count = 7
+ -> prA: Probability = 0.00, Count = 1
+ -> expf: Probability = 0.00, Count = 1
+ -> size: Probability = 0.01, Count = 5
+ -> column: Probability = 0.00, Count = 3
+ -> row: Probability = 0.00, Count = 3
+ -> 1: Probability = 0.02, Count = 24
+ -> twod: Probability = 0.00, Count = 1
+ -> twod1: Probability = 0.00, Count = 1
+ -> 0: Probability = 0.02, Count = 15
+ -> j: Probability = 0.02, Count = 15
+ -> vecY: Probability = 0.00, Count = 1
+ -> L_x: Probability = 0.00, Count = 1
+ -> ]: Probability = 0.03, Count = 27
+ -> 10: Probability = 0.00, Count = 1
+ -> <: Probability = 0.01, Count = 8
+ -> &: Probability = 0.00, Count = 3
+ -> >: Probability = 0.00, Count = 2
+ -> npml: Probability = 0.00, Count = 3
+ -> id: Probability = 0.00, Count = 2
+ -> (: Probability = 0.02, Count = 15
+ -> c: Probability = 0.00, Count = 4
+ -> dims: Probability = 0.00, Count = 3
+ -> idx: Probability = 0.00, Count = 4
+ -> num_threads: Probability = 0.00, Count = 2
+ -> nxprj2: Probability = 0.00, Count = 1
+ -> height: Probability = 0.00, Count = 3
+ -> width: Probability = 0.00, Count = 4
+ -> idy: Probability = 0.00, Count = 1
+ -> rows: Probability = 0.00, Count = 1
+ -> devMatX: Probability = 0.00, Count = 4
+ -> {: Probability = 0.01, Count = 7
+ -> ;: Probability = 0.03, Count = 26
+ -> }: Probability = 0.00, Count = 1
+ -> *: Probability = 0.04, Count = 36
+ -> [: Probability = 0.02, Count = 17
+ -> k: Probability = 0.01, Count = 6
+ -> 2: Probability = 0.01, Count = 6
+ -> maxhd: Probability = 0.00, Count = 1
+ -> c_in: Probability = 0.00, Count = 2
+ -> a_in: Probability = 0.00, Count = 1
+ -> b_in: Probability = 0.00, Count = 1
+ -> sum: Probability = 0.00, Count = 1
+ -> Col: Probability = 0.00, Count = 3
+ -> size_block: Probability = 0.00, Count = 1
+ -> unsigned: Probability = 0.01, Count = 9
+ -> output: Probability = 0.00, Count = 1
+ -> if: Probability = 0.01, Count = 5
+ -> 71: Probability = 0.00, Count = 1
+ -> 07: Probability = 0.00, Count = 1
+ -> pixels_per_image: Probability = 0.00, Count = 1
+ -> nx: Probability = 0.00, Count = 2
+ -> dt: Probability = 0.00, Count = 1
+ -> x0: Probability = 0.00, Count = 2
+ -> .: Probability = 0.01, Count = 5
+ -> index: Probability = 0.00, Count = 2
+ -> right_columns: Probability = 0.00, Count = 1
+ -> cell: Probability = 0.00, Count = 2
+ -> col_b: Probability = 0.00, Count = 1
+ -> NJ: Probability = 0.00, Count = 1
+ -> RES: Probability = 0.00, Count = 1
+ -> array_size: Probability = 0.00, Count = 1
+ -> occNo: Probability = 0.00, Count = 1
+ -> h: Probability = 0.00, Count = 2
+ -> buffer: Probability = 0.00, Count = 1
+ -> source_amplitude: Probability = 0.00, Count = 1
+ -> spatial: Probability = 0.00, Count = 2
+ -> z: Probability = 0.00, Count = 2
+ -> d_indptr: Probability = 0.00, Count = 2
+ -> d_out_data: Probability = 0.00, Count = 1
+ -> coef: Probability = 0.00, Count = 1
+ -> 113: Probability = 0.00, Count = 1
+ -> 604: Probability = 0.00, Count = 1
+ -> host_inputArray1: Probability = 0.00, Count = 1
+ -> ptr_src_0: Probability = 0.00, Count = 1
+ -> 5f: Probability = 0.00, Count = 1
+ -> bx: Probability = 0.00, Count = 1
+ -> height_M: Probability = 0.00, Count = 1
+ -> bands: Probability = 0.00, Count = 1
+ -> filters: Probability = 0.00, Count = 2
+ -> f: Probability = 0.00, Count = 2
+ -> n: Probability = 0.00, Count = 3
+ -> ,: Probability = 0.00, Count = 1
+ -> q: Probability = 0.00, Count = 1
+ -> for: Probability = 0.00, Count = 1
+ -> w: Probability = 0.00, Count = 1
+ -> 128: Probability = 0.00, Count = 1
+ -> dcopy: Probability = 0.00, Count = 1
+ -> %: Probability = 0.00, Count = 1
+ -> h_out: Probability = 0.00, Count = 1
+ -> ksize: Probability = 0.00, Count = 2
+ -> cy: Probability = 0.00, Count = 1
+ -> cx: Probability = 0.00, Count = 1
+ -> y2: Probability = 0.00, Count = 1
+ -> 4: Probability = 0.00, Count = 1
+ -> 3: Probability = 0.00, Count = 2
+ -> xp: Probability = 0.00, Count = 1
+ -> zq: Probability = 0.00, Count = 2
+ -> zp: Probability = 0.00, Count = 1
+ -> yq: Probability = 0.00, Count = 1
+ -> P: Probability = 0.00, Count = 1
+ -> /: Probability = 0.00, Count = 1
+ -> h1: Probability = 0.00, Count = 1
+ -> int: Probability = 0.00, Count = 1
+ -> h2: Probability = 0.00, Count = 1
+ -> mult: Probability = 0.00, Count = 2
+ -> add_index: Probability = 0.00, Count = 1
+ -> step: Probability = 0.00, Count = 3
+ -> r: Probability = 0.01, Count = 5
+ -> -: Probability = 0.00, Count = 2
+ -> else: Probability = 0.00, Count = 2
+ -> fbase: Probability = 0.00, Count = 1
void -> void: Probability = 1.00, Count = 176
) -> ): Probability = 0.50, Count = 332
) -> {: Probability = 0.11, Count = 74
) -> new_arr: Probability = 0.00, Count = 1
) -> y: Probability = 0.01, Count = 4
) -> output: Probability = 0.00, Count = 2
) -> offsets: Probability = 0.00, Count = 1
) -> c: Probability = 0.00, Count = 3
) -> X: Probability = 0.00, Count = 2
) -> ?: Probability = 0.01, Count = 8
) -> ;: Probability = 0.06, Count = 41
) -> Y: Probability = 0.00, Count = 3
) -> }: Probability = 0.00, Count = 3
) -> dev_parameter: Probability = 0.00, Count = 1
) -> ,: Probability = 0.00, Count = 2
) -> =: Probability = 0.02, Count = 13
) -> Tau: Probability = 0.00, Count = 1
) -> transposed: Probability = 0.00, Count = 1
) -> if: Probability = 0.01, Count = 7
) -> input: Probability = 0.00, Count = 1
) -> aRS: Probability = 0.00, Count = 1
) -> vecY: Probability = 0.00, Count = 1
) -> ]: Probability = 0.01, Count = 5
) -> device_output: Probability = 0.00, Count = 1
) -> [: Probability = 0.01, Count = 10
) -> n: Probability = 0.00, Count = 1
) -> +: Probability = 0.03, Count = 18
) -> ny: Probability = 0.00, Count = 1
) -> char: Probability = 0.00, Count = 1
) -> 0: Probability = 0.00, Count = 3
) -> .: Probability = 0.00, Count = 2
) -> areaRes: Probability = 0.00, Count = 1
) -> /: Probability = 0.00, Count = 2
) -> int: Probability = 0.02, Count = 12
) -> size: Probability = 0.00, Count = 2
) -> edad: Probability = 0.00, Count = 1
