) -> ): Probability = 0.36, Count = 512
) -> map: Probability = 0.00, Count = 1
) -> X2: Probability = 0.00, Count = 1
) -> y: Probability = 0.00, Count = 4
) -> mid: Probability = 0.00, Count = 2
) -> iii: Probability = 0.00, Count = 1
) -> BufferedReader: Probability = 0.00, Count = 3
) -> isr: Probability = 0.00, Count = 2
) -> static: Probability = 0.00, Count = 1
) -> name: Probability = 0.00, Count = 1
) -> indexOf: Probability = 0.00, Count = 1
) -> time: Probability = 0.00, Count = 1
) -> sort: Probability = 0.00, Count = 1
) -> abs: Probability = 0.00, Count = 2
) -> parent: Probability = 0.00, Count = 1
) -> d: Probability = 0.00, Count = 2
) -> class: Probability = 0.00, Count = 1
) -> unite: Probability = 0.00, Count = 1
) -> Set: Probability = 0.00, Count = 1
) -> add: Probability = 0.00, Count = 1
[ -> [: Probability = 0.23, Count = 140
[ -> {: Probability = 0.03, Count = 18
[ -> b2: Probability = 0.00, Count = 2
[ -> i: Probability = 0.04, Count = 25
[ -> c: Probability = 0.01, Count = 5
[ -> +: Probability = 0.04, Count = 26
[ -> ): Probability = 0.04, Count = 23
[ -> ]: Probability = 0.06, Count = 38
[ -> new: Probability = 0.01, Count = 4
[ -> 3: Probability = 0.00, Count = 2
[ -> 1: Probability = 0.01, Count = 8
[ -> r: Probability = 0.00, Count = 1
[ -> ;: Probability = 0.03, Count = 18
[ -> grid: Probability = 0.00, Count = 1
[ -> =: Probability = 0.05, Count = 29
[ -> nums: Probability = 0.02, Count = 15
[ -> return: Probability = 0.00, Count = 1
[ -> -: Probability = 0.02, Count = 12
[ -> 0: Probability = 0.02, Count = 14
[ -> get: Probability = 0.00, Count = 3
[ -> (: Probability = 0.04, Count = 27
[ -> if: Probability = 0.01, Count = 6
[ -> ans: Probability = 0.01, Count = 4
[ -> f: Probability = 0.00, Count = 1
[ -> >: Probability = 0.00, Count = 1
[ -> array: Probability = 0.00, Count = 2
[ -> m: Probability = 0.00, Count = 1
[ -> .: Probability = 0.02, Count = 10
[ -> d: Probability = 0.00, Count = 2
[ -> x: Probability = 0.00, Count = 3
[ -> |: Probability = 0.00, Count = 1
[ -> <: Probability = 0.02, Count = 12
[ -> int: Probability = 0.02, Count = 15
[ -> A: Probability = 0.00, Count = 1
[ -> &: Probability = 0.01, Count = 9
[ -> ok: Probability = 0.00, Count = 1
[ -> continue: Probability = 0.00, Count = 1
[ -> }: Probability = 0.01, Count = 4
[ -> !: Probability = 0.00, Count = 1
[ -> clothesInfo: Probability = 0.00, Count = 2
[ -> j: Probability = 0.00, Count = 3
[ -> high: Probability = 0.00, Count = 1
[ -> day: Probability = 0.00, Count = 1
[ -> Math: Probability = 0.00, Count = 2
[ -> *: Probability = 0.01, Count = 8
[ -> /: Probability = 0.00, Count = 1
[ -> c1: Probability = 0.00, Count = 1
[ -> c2: Probability = 0.00, Count = 1
[ -> tow: Probability = 0.00, Count = 1
[ -> abs: Probability = 0.00, Count = 2
[ -> String: Probability = 0.00, Count = 2
[ -> n: Probability = 0.01, Count = 4
[ -> list: Probability = 0.00, Count = 3
[ -> goB: Probability = 0.00, Count = 1
[ -> a: Probability = 0.02, Count = 12
[ -> awa: Probability = 0.00, Count = 1
[ -> b: Probability = 0.01, Count = 5
[ -> long: Probability = 0.00, Count = 1
[ -> min: Probability = 0.01, Count = 4
[ -> else: Probability = 0.00, Count = 2
[ -> x2: Probability = 0.00, Count = 1
[ -> yy: Probability = 0.00, Count = 1
[ -> sum: Probability = 0.00, Count = 1
[ -> angle_H: Probability = 0.00, Count = 1
[ -> angle_M: Probability = 0.00, Count = 1
[ -> 2: Probability = 0.00, Count = 1
[ -> sort: Probability = 0.00, Count = 1
[ -> shi: Probability = 0.00, Count = 1
[ -> memo: Probability = 0.00, Count = 3
[ -> answer: Probability = 0.00, Count = 2
[ -> z: Probability = 0.00, Count = 1
[ -> ,: Probability = 0.01, Count = 5
[ -> System: Probability = 0.00, Count = 1
[ -> masked: Probability = 0.00, Count = 1
[ -> y: Probability = 0.01, Count = 4
[ -> evenCount: Probability = 0.00, Count = 1
[ -> max1_1: Probability = 0.00, Count = 1
[ -> 99999: Probability = 0.00, Count = 1
[ -> maxNumO: Probability = 0.00, Count = 1
[ -> vO: Probability = 0.00, Count = 1
[ -> length: Probability = 0.00, Count = 1
[ -> po: Probability = 0.00, Count = 1
[ -> index: Probability = 0.00, Count = 1
[ -> nextToken: Probability = 0.00, Count = 1
[ -> score: Probability = 0.00, Count = 1
[ -> size: Probability = 0.00, Count = 1
[ -> while: Probability = 0.00, Count = 1
[ -> vs: Probability = 0.00, Count = 1
[ -> aArr: Probability = 0.00, Count = 1
[ -> import: Probability = 0.00, Count = 1
[ -> 9: Probability = 0.00, Count = 1
[ -> sb: Probability = 0.00, Count = 1
[ -> X2: Probability = 0.00, Count = 1
[ -> N: Probability = 0.00, Count = 2
[ -> xx: Probability = 0.00, Count = 1
[ -> sc: Probability = 0.00, Count = 1
[ -> println: Probability = 0.00, Count = 1
[ -> ": Probability = 0.01, Count = 5
[ -> tokens: Probability = 0.00, Count = 2
[ -> tt: Probability = 0.01, Count = 6
[ -> ArrayList: Probability = 0.00, Count = 2
[ -> add: Probability = 0.00, Count = 1
[ -> X: Probability = 0.00, Count = 1
[ -> dirleft: Probability = 0.00, Count = 1
[ -> in: Probability = 0.00, Count = 1
i -> c: Probability = 0.01, Count = 2
i -> n: Probability = 0.01, Count = 4
i -> i: Probability = 0.18, Count = 57
i -> +: Probability = 0.03, Count = 9
i -> !: Probability = 0.00, Count = 1
i -> C: Probability = 0.00, Count = 1
i -> ]: Probability = 0.03, Count = 10
i -> (: Probability = 0.08, Count = 26
i -> 0: Probability = 0.03, Count = 8
i -> grid: Probability = 0.00, Count = 1
i -> line: Probability = 0.00, Count = 1
i -> [: Probability = 0.07, Count = 22
i -> ;: Probability = 0.05, Count = 16
i -> }: Probability = 0.02, Count = 5
i -> min: Probability = 0.01, Count = 3
i -> a: Probability = 0.03, Count = 9
i -> array_min: Probability = 0.00, Count = 1
i -> =: Probability = 0.07, Count = 23
i -> System: Probability = 0.01, Count = 2
i -> ar: Probability = 0.00, Count = 1
i -> nextInt: Probability = 0.00, Count = 1
i -> for: Probability = 0.01, Count = 3
i -> ,: Probability = 0.02, Count = 5
i -> int: Probability = 0.02, Count = 6
i -> if: Probability = 0.01, Count = 4
i -> <: Probability = 0.01, Count = 4
i -> in: Probability = 0.02, Count = 5
i -> j: Probability = 0.01, Count = 2
i -> ): Probability = 0.04, Count = 14
i -> 1: Probability = 0.01, Count = 3
i -> .: Probability = 0.03, Count = 11
i -> -: Probability = 0.01, Count = 3
i -> Math: Probability = 0.01, Count = 2
i -> {: Probability = 0.01, Count = 2
i -> *: Probability = 0.01, Count = 4
i -> ": Probability = 0.00, Count = 1
i -> x: Probability = 0.01, Count = 3
i -> w: Probability = 0.00, Count = 1
i -> long: Probability = 0.01, Count = 4
i -> B: Probability = 0.01, Count = 2
i -> A: Probability = 0.00, Count = 1
i -> b: Probability = 0.01, Count = 4
i -> Collections: Probability = 0.00, Count = 1
i -> diff: Probability = 0.00, Count = 1
i -> InputStreamReader: Probability = 0.01, Count = 2
i -> public: Probability = 0.00, Count = 1
i -> mod: Probability = 0.01, Count = 2
i -> println: Probability = 0.00, Count = 1
i -> y: Probability = 0.01, Count = 2
i -> >: Probability = 0.00, Count = 1
i -> q: Probability = 0.00, Count = 1
i -> p: Probability = 0.01, Count = 2
i -> stdin: Probability = 0.00, Count = 1
i -> static: Probability = 0.00, Count = 1
i -> num: Probability = 0.00, Count = 1
i -> ans: Probability = 0.01, Count = 2
i -> new: Probability = 0.00, Count = 1
i -> k: Probability = 0.00, Count = 1
i -> s: Probability = 0.01, Count = 2
i -> calc: Probability = 0.00, Count = 1
i -> l: Probability = 0.00, Count = 1
i -> while: Probability = 0.01, Count = 2
i -> dp: Probability = 0.00, Count = 1
i -> out: Probability = 0.00, Count = 1
i -> sort: Probability = 0.00, Count = 1
i -> curcan: Probability = 0.00, Count = 1
i -> root: Probability = 0.00, Count = 1
i -> parent: Probability = 0.00, Count = 1
0 -> 0: Probability = 0.14, Count = 34
0 -> =: Probability = 0.13, Count = 31
0 -> -: Probability = 0.03, Count = 8
0 -> [: Probability = 0.05, Count = 12
0 -> ]: Probability = 0.05, Count = 13
0 -> ;: Probability = 0.08, Count = 19
0 -> check: Probability = 0.00, Count = 1
0 -> k: Probability = 0.01, Count = 2
0 -> sc: Probability = 0.00, Count = 1
0 -> a: Probability = 0.02, Count = 4
0 -> if: Probability = 0.03, Count = 7
0 -> max: Probability = 0.01, Count = 2
0 -> d: Probability = 0.01, Count = 2
0 -> <: Probability = 0.01, Count = 3
0 -> i: Probability = 0.05, Count = 12
0 -> j: Probability = 0.00, Count = 1
0 -> (: Probability = 0.06, Count = 14
0 -> +: Probability = 0.01, Count = 3
0 -> continue: Probability = 0.00, Count = 1
0 -> out: Probability = 0.00, Count = 1
0 -> .: Probability = 0.03, Count = 7
0 -> println: Probability = 0.02, Count = 5
0 -> e: Probability = 0.00, Count = 1
0 -> h: Probability = 0.00, Count = 1
0 -> r: Probability = 0.00, Count = 1
0 -> c1: Probability = 0.01, Count = 2
0 -> |: Probability = 0.00, Count = 1
0 -> d1: Probability = 0.00, Count = 1
0 -> /: Probability = 0.01, Count = 2
0 -> else: Probability = 0.00, Count = 1
0 -> a1: Probability = 0.00, Count = 1
0 -> System: Probability = 0.01, Count = 2
0 -> {: Probability = 0.02, Count = 6
0 -> ': Probability = 0.01, Count = 2
0 -> 3500: Probability = 0.00, Count = 1
0 -> ): Probability = 0.03, Count = 8
0 -> *: Probability = 0.01, Count = 3
0 -> N: Probability = 0.00, Count = 1
0 -> nextInt: Probability = 0.00, Count = 1
0 -> }: Probability = 0.01, Count = 2
0 -> return: Probability = 0.00, Count = 1
0 -> xx: Probability = 0.00, Count = 1
0 -> 2: Probability = 0.01, Count = 3
0 -> count: Probability = 0.00, Count = 1
0 -> A: Probability = 0.00, Count = 1
0 -> nextToken: Probability = 0.00, Count = 1
0 -> kakudo_sa: Probability = 0.00, Count = 1
0 -> 6: Probability = 0.00, Count = 1
0 -> Math: Probability = 0.00, Count = 1
0 -> 60: Probability = 0.00, Count = 1
0 -> 1: Probability = 0.00, Count = 1
0 -> oddCount: Probability = 0.00, Count = 1
0 -> max0_1v: Probability = 0.00, Count = 1
0 -> int: Probability = 0.00, Count = 1
0 -> vEven: Probability = 0.00, Count = 1
0 -> now: Probability = 0.00, Count = 1
0 -> l: Probability = 0.00, Count = 1
0 -> ave: Probability = 0.00, Count = 1
0 -> n: Probability = 0.01, Count = 2
0 -> y: Probability = 0.00, Count = 1
0 -> add: Probability = 0.00, Count = 1
3 -> a3: Probability = 0.07, Count = 1
3 -> =: Probability = 0.07, Count = 1
3 -> 3: Probability = 0.14, Count = 2
3 -> ;: Probability = 0.07, Count = 1
3 -> int: Probability = 0.07, Count = 1
3 -> size: Probability = 0.07, Count = 1
3 -> nums: Probability = 0.07, Count = 1
3 -> ": Probability = 0.07, Count = 1
3 -> out: Probability = 0.07, Count = 1
3 -> (: Probability = 0.07, Count = 1
3 -> [: Probability = 0.14, Count = 2
3 -> 1: Probability = 0.07, Count = 1
y -> c: Probability = 0.02, Count = 1
y -> z: Probability = 0.02, Count = 1
y -> =: Probability = 0.02, Count = 1
y -> ;: Probability = 0.15, Count = 7
y -> (: Probability = 0.04, Count = 2
y -> i: Probability = 0.11, Count = 5
y -> +: Probability = 0.02, Count = 1
y -> diffW: Probability = 0.02, Count = 1
y -> Math: Probability = 0.04, Count = 2
y -> min: Probability = 0.02, Count = 1
y -> int: Probability = 0.04, Count = 2
y -> ]: Probability = 0.09, Count = 4
y -> -: Probability = 0.02, Count = 1
y -> ): Probability = 0.07, Count = 3
y -> {: Probability = 0.02, Count = 1
y -> 0: Probability = 0.04, Count = 2
y -> y: Probability = 0.02, Count = 1
y -> ans: Probability = 0.02, Count = 1
y -> vO: Probability = 0.02, Count = 1
y -> maxO: Probability = 0.02, Count = 1
y -> .: Probability = 0.02, Count = 1
y -> 1: Probability = 0.02, Count = 1
y -> x: Probability = 0.04, Count = 2
y -> root: Probability = 0.02, Count = 1
y -> nextInt: Probability = 0.02, Count = 1
y -> rx: Probability = 0.02, Count = 1
' -> =: Probability = 0.13, Count = 8
' -> 2: Probability = 0.02, Count = 1
' -> [: Probability = 0.07, Count = 4
' -> println: Probability = 0.03, Count = 2
' -> ;: Probability = 0.07, Count = 4
' -> ": Probability = 0.13, Count = 8
' -> 4: Probability = 0.02, Count = 1
' -> 3: Probability = 0.02, Count = 1
' -> N: Probability = 0.02, Count = 1
' -> %: Probability = 0.02, Count = 1
' -> infinity: Probability = 0.02, Count = 1
' -> +: Probability = 0.10, Count = 6
' -> &: Probability = 0.05, Count = 3
' -> if: Probability = 0.03, Count = 2
' -> ): Probability = 0.08, Count = 5
' -> (: Probability = 0.05, Count = 3
' -> cnt7: Probability = 0.02, Count = 1
' -> System: Probability = 0.03, Count = 2
' -> ]: Probability = 0.02, Count = 1
' -> i: Probability = 0.02, Count = 1
' -> .: Probability = 0.02, Count = 1
' -> ju: Probability = 0.02, Count = 1
' -> }: Probability = 0.02, Count = 1
' -> ': Probability = 0.02, Count = 1
' -> ,: Probability = 0.02, Count = 1
, -> ,: Probability = 0.16, Count = 47
, -> int: Probability = 0.02, Count = 6
, -> =: Probability = 0.03, Count = 9
, -> 3: Probability = 0.01, Count = 2
, -> ): Probability = 0.05, Count = 16
, -> (: Probability = 0.08, Count = 23
, -> min: Probability = 0.01, Count = 2
, -> 0: Probability = 0.03, Count = 9
, -> ]: Probability = 0.04, Count = 13
, -> util: Probability = 0.01, Count = 4
, -> N: Probability = 0.01, Count = 4
, -> final: Probability = 0.00, Count = 1
, -> ;: Probability = 0.10, Count = 28
, -> 1: Probability = 0.02, Count = 5
, -> next: Probability = 0.01, Count = 2
, -> b2: Probability = 0.01, Count = 2
, -> a2: Probability = 0.00, Count = 1
, -> /: Probability = 0.00, Count = 1
, -> *: Probability = 0.00, Count = 1
, -> .: Probability = 0.04, Count = 13
, -> println: Probability = 0.01, Count = 2
, -> if: Probability = 0.00, Count = 1
, -> {: Probability = 0.02, Count = 5
, -> tow: Probability = 0.00, Count = 1
, -> w: Probability = 0.01, Count = 2
, -> nextInt: Probability = 0.02, Count = 6
, -> a: Probability = 0.01, Count = 3
, -> H: Probability = 0.00, Count = 1
, -> Math: Probability = 0.01, Count = 2
, -> }: Probability = 0.01, Count = 4
, -> >: Probability = 0.01, Count = 2
, -> -: Probability = 0.02, Count = 5
, -> 4: Probability = 0.01, Count = 3
, -> return: Probability = 0.00, Count = 1
, -> i: Probability = 0.02, Count = 6
, -> [: Probability = 0.01, Count = 4
, -> clone: Probability = 0.00, Count = 1
, -> sc: Probability = 0.02, Count = 5
, -> x: Probability = 0.01, Count = 2
, -> <: Probability = 0.01, Count = 2
, -> n: Probability = 0.01, Count = 3
, -> b: Probability = 0.00, Count = 1
, -> v: Probability = 0.00, Count = 1
, -> pow: Probability = 0.00, Count = 1
, -> Scanner: Probability = 0.01, Count = 2
, -> M: Probability = 0.00, Count = 1
, -> System: Probability = 0.00, Count = 1
, -> Main: Probability = 0.01, Count = 3
, -> nextDouble: Probability = 0.01, Count = 2
, -> seed: Probability = 0.00, Count = 1
, -> max: Probability = 0.00, Count = 1
, -> StringTokenizer: Probability = 0.00, Count = 1
, -> Integer: Probability = 0.00, Count = 1
, -> BufferedOutputStream: Probability = 0.00, Count = 1
, -> ans: Probability = 0.00, Count = 1
, -> +: Probability = 0.01, Count = 2
, -> max0_1: Probability = 0.00, Count = 1
, -> maxEven: Probability = 0.01, Count = 2
, -> X: Probability = 0.00, Count = 1
, -> list: Probability = 0.00, Count = 1
, -> j: Probability = 0.01, Count = 2
, -> 182: Probability = 0.01, Count = 2
, -> main: Probability = 0.01, Count = 2
, -> doIt: Probability = 0.00, Count = 1
, -> time: Probability = 0.01, Count = 2
, -> time2: Probability = 0.00, Count = 1
, -> ArrayList: Probability = 0.00, Count = 1
, -> abs: Probability = 0.00, Count = 1
, -> y: Probability = 0.00, Count = 1
, -> out: Probability = 0.01, Count = 2
, -> root: Probability = 0.00, Count = 1
, -> scanner: Probability = 0.00, Count = 1
int -> int: Probability = 0.56, Count = 183
int -> String: Probability = 0.13, Count = 44
int -> solve: Probability = 0.00, Count = 1
int -> (: Probability = 0.11, Count = 36
int -> dp: Probability = 0.00, Count = 1
int -> ;: Probability = 0.01, Count = 4
int -> ,: Probability = 0.01, Count = 3
int -> scanner: Probability = 0.02, Count = 7
int -> main: Probability = 0.01, Count = 3
int -> long: Probability = 0.01, Count = 3
int -> util: Probability = 0.01, Count = 2
int -> static: Probability = 0.01, Count = 2
int -> list: Probability = 0.01, Count = 2
int -> import: Probability = 0.01, Count = 2
int -> double: Probability = 0.00, Count = 1
int -> 0: Probability = 0.01, Count = 2
int -> *: Probability = 0.00, Count = 1
int -> for: Probability = 0.00, Count = 1
int -> c: Probability = 0.00, Count = 1
int -> }: Probability = 0.01, Count = 2
int -> =: Probability = 0.01, Count = 2
int -> println: Probability = 0.00, Count = 1
int -> .: Probability = 0.01, Count = 3
int -> run: Probability = 0.00, Count = 1
int -> Math: Probability = 0.00, Count = 1
int -> {: Probability = 0.01, Count = 2
int -> n: Probability = 0.01, Count = 2
int -> ]: Probability = 0.00, Count = 1
int -> true: Probability = 0.00, Count = 1
int -> min: Probability = 0.01, Count = 2
int -> tmp: Probability = 0.00, Count = 1
int -> new: Probability = 0.01, Count = 2
int -> best: Probability = 0.00, Count = 1
int -> ): Probability = 0.00, Count = 1
int -> 32768: Probability = 0.00, Count = 1
int -> +: Probability = 0.00, Count = 1
int -> i: Probability = 0.00, Count = 1
int -> b: Probability = 0.00, Count = 1
int -> args: Probability = 0.00, Count = 1
in -> in: Probability = 0.24, Count = 32
in -> range: Probability = 0.01, Count = 1
in -> &: Probability = 0.01, Count = 1
in -> ): Probability = 0.05, Count = 6
in -> ": Probability = 0.01, Count = 1
in -> (: Probability = 0.08, Count = 11
in -> -: Probability = 0.01, Count = 1
in -> ;: Probability = 0.05, Count = 6
in -> int: Probability = 0.02, Count = 3
in -> throws: Probability = 0.01, Count = 1
in -> nextInt: Probability = 0.03, Count = 4
in -> =: Probability = 0.05, Count = 6
in -> .: Probability = 0.07, Count = 9
in -> <: Probability = 0.03, Count = 4
in -> temperature: Probability = 0.01, Count = 1
in -> numberOfTypes: Probability = 0.01, Count = 1
in -> 0: Probability = 0.02, Count = 2
in -> [: Probability = 0.03, Count = 4
in -> util: Probability = 0.01, Count = 1
in -> j: Probability = 0.01, Count = 1
in -> InputStreamReader: Probability = 0.01, Count = 1
in -> i: Probability = 0.02, Count = 3
in -> }: Probability = 0.02, Count = 3
in -> sc: Probability = 0.02, Count = 2
in -> Scanner: Probability = 0.02, Count = 3
in -> Exception: Probability = 0.01, Count = 1
in -> toString: Probability = 0.01, Count = 1
in -> >: Probability = 0.01, Count = 1
in -> rec: Probability = 0.01, Count = 1
in -> ]: Probability = 0.02, Count = 3
in -> masked: Probability = 0.01, Count = 1
in -> return: Probability = 0.01, Count = 1
in -> 1: Probability = 0.01, Count = 1
in -> +: Probability = 0.01, Count = 1
in -> new: Probability = 0.03, Count = 4
in -> N: Probability = 0.01, Count = 1
in -> out: Probability = 0.01, Count = 1
in -> X: Probability = 0.01, Count = 1
in -> Math: Probability = 0.01, Count = 1
in -> size: Probability = 0.01, Count = 1
in -> list: Probability = 0.01, Count = 1
in -> break: Probability = 0.01, Count = 1
in -> println: Probability = 0.01, Count = 1
in -> tmp: Probability = 0.01, Count = 1
in -> tree: Probability = 0.01, Count = 1
] -> [: Probability = 0.09, Count = 51
] -> ]: Probability = 0.21, Count = 124
] -> c: Probability = 0.01, Count = 4
] -> ;: Probability = 0.07, Count = 44
] -> sum: Probability = 0.01, Count = 4
] -> &: Probability = 0.01, Count = 5
] -> 0: Probability = 0.02, Count = 12
] -> -: Probability = 0.02, Count = 11
] -> C: Probability = 0.01, Count = 3
] -> ): Probability = 0.05, Count = 31
] -> a: Probability = 0.01, Count = 4
] -> <: Probability = 0.02, Count = 10
] -> =: Probability = 0.05, Count = 29
] -> left: Probability = 0.00, Count = 2
] -> grid: Probability = 0.00, Count = 2
] -> {: Probability = 0.02, Count = 10
] -> (: Probability = 0.03, Count = 15
] -> i: Probability = 0.05, Count = 30
] -> *: Probability = 0.02, Count = 9
] -> 2: Probability = 0.01, Count = 6
] -> 4: Probability = 0.00, Count = 1
] -> String: Probability = 0.00, Count = 1
] -> 1: Probability = 0.01, Count = 4
] -> array: Probability = 0.00, Count = 1
] -> .: Probability = 0.02, Count = 12
] -> ok: Probability = 0.00, Count = 1
] -> ,: Probability = 0.01, Count = 4
] -> d: Probability = 0.01, Count = 3
] -> return: Probability = 0.01, Count = 4
] -> day: Probability = 0.00, Count = 2
] -> }: Probability = 0.01, Count = 8
] -> |: Probability = 0.00, Count = 2
] -> int: Probability = 0.01, Count = 7
] -> 3: Probability = 0.00, Count = 2
] -> if: Probability = 0.01, Count = 5
] -> sc: Probability = 0.01, Count = 3
] -> dp: Probability = 0.00, Count = 1
] -> +: Probability = 0.03, Count = 20
] -> nextInt: Probability = 0.01, Count = 3
] -> T: Probability = 0.00, Count = 1
] -> true: Probability = 0.00, Count = 1
] -> for: Probability = 0.01, Count = 5
] -> showy: Probability = 0.00, Count = 1
] -> numberOfTypes: Probability = 0.00, Count = 1
] -> n: Probability = 0.01, Count = 6
] -> scanner: Probability = 0.00, Count = 2
] -> d1: Probability = 0.00, Count = 1
] -> c1: Probability = 0.00, Count = 1
] -> x: Probability = 0.01, Count = 5
] -> j: Probability = 0.01, Count = 4
] -> l: Probability = 0.00, Count = 1
] -> total: Probability = 0.00, Count = 1
] -> get: Probability = 0.00, Count = 2
] -> k: Probability = 0.01, Count = 6
] -> >: Probability = 0.00, Count = 1
] -> main: Probability = 0.00, Count = 1
] -> Main: Probability = 0.00, Count = 1
] -> max: Probability = 0.00, Count = 2
] -> min: Probability = 0.00, Count = 1
] -> A: Probability = 0.00, Count = 1
] -> add: Probability = 0.00, Count = 1
] -> cha: Probability = 0.00, Count = 1
] -> close: Probability = 0.00, Count = 1
] -> b: Probability = 0.00, Count = 2
